job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.indeed.com/viewjob?jk=f284d995f9571976,Indeed,Senior Systems Developer,Glasgow,Full-Time,8 days ago,,,,Open link to read requirements.,Core-Asset Consulting,
https://www.indeed.com/viewjob?jk=82de09556c7e7ec9,Indeed,Backend Developer,Glasgow,Full-Time,14 days ago,,,,Open link to read requirements.,Montreux Partners,
https://www.indeed.com/viewjob?jk=ff0de95e93b33fb1,Indeed,Graduate Power Platform Developer - Glasgow,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Matthew Algie,
https://www.indeed.com/viewjob?jk=c374fbfe4caee625,Indeed,Technical Product Owner - UI/UX Strategy,Glasgow,Full-Time,7 days ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=76511d96def5f691,Indeed,Lead Data Analyst,Glasgow PA4,Full-Time,Just posted,,,,Open link to read requirements.,SSE,
https://www.indeed.com/viewjob?jk=d450fb3b7cbbc220,Indeed,Lead BI Developer,Glasgow PA4,Full-Time,Just posted,,,,Open link to read requirements.,SSE,
https://www.indeed.com/viewjob?jk=5249bc69c532e3c9,Indeed,Data Specialist 6mth FTC,Stirling,Full-Time,Just posted,,,,Open link to read requirements.,M&G plc,
https://www.indeed.com/viewjob?jk=bbfe368b799c216a,Indeed,Senior Data Platform Developer,Glasgow,Full-Time,1 day ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=a5f1dcdd06f32f22,Indeed,"Senior Data Engineer, Police & Public Protection Technology",Croydon,Full-Time,6 days ago,,,,Open link to read requirements.,Home Office,
https://www.indeed.com/viewjob?jk=48a32aeff86f97b8,Indeed,Project Controls Analytics Consultant,London,Full-Time,6 days ago,,,,Open link to read requirements.,AECOM,
https://www.indeed.com/viewjob?jk=d0ea057ab7d29973,Indeed,"Business Intelligence Engineer, EU Network Flow and Technologies",London,Full-Time,12 days ago,,,,Open link to read requirements.,Amazon UK Services Ltd.,
https://www.indeed.com/viewjob?jk=e97c73a1a934ff98,Indeed,Data Programme Lead,London,Full-Time,6 days ago,,,,Open link to read requirements.,Capgemini,
https://www.indeed.com/viewjob?jk=599528d1b662b3cb,Indeed,Senior Systems Engineer,London,Full-Time,11 days ago,,,,Open link to read requirements.,Elsevier,
https://www.indeed.com/viewjob?jk=68d141a0555094e0,Indeed,Hadoop Spark Data Engineer,London,Full-Time,4 days ago,,,,"About the Job you are considering:
      
      
       Results-driven Hadoop Spark Data Engineer with strong expertise in designing and implementing scalable big data solutions using Scala and Apache Spark. Experienced in working with the Hadoop ecosystem, including HDFS, Hive, and YARN, to process and analyze large datasets efficiently. Skilled in building robust ETL pipelines, real-time data processing, and optimizing distributed systems for performance and reliability. Proficient in SQL, data modeling, and integrating data from multiple sources in cloud and on-prem environments.

      
     
     
      
       Hybrid working:
      
      
       The places that you work from day to day will vary according to your role, your needs, and those of the business; it will be a blend of Company offices, client sites, and your home; noting that you will be unable to work at home 100% of the time.

      
     
     
      
       Your Role:
      
      
       
        Design and develop Hadoopbased applications and data pipelines.
        Build operate monitor and troubleshoot Hadoop clusters.
        Write scalable ETL processes using tools like Hive Pig and Spark.
        Develop and maintain data ingestion processes using Sqoop Flume or Kafka.
        Optimize MapReduce jobs and manage HDFS storage.
        Collaborate with data scientists and analysts to support data needs.
        Ensure data security and compliance with organizational policies.
        Create and maintain technical documentation and playbooks.
        Evaluate and integrate cloudbased big data solutions AWS GCP Azure.
       
      
     
     
      
       Your Skills:
      
      
       
        Proficient in Scala programming with strong expertise in functional programming concepts for building scalable data applications.
        Extensive experience in Apache Spark (Core, SQL, and Streaming) for processing large-scale distributed data efficiently
        Strong knowledge of Hadoop ecosystem components including HDFS, YARN, Hive, and HBase.
        Skilled in designing and developing ETL pipelines and handling structured and unstructured big data.
        Experienced in performance tuning, data optimization, and working with distributed systems in cloud or on-prem environments.
       
      
     
     
      
       We are a Disability Confident Employer:
      
      
       Capgemini is proud to be a Disability Confident Employer (Level 2) under the UK Government’s Disability Confident scheme. As part of our commitment to inclusive recruitment, we will offer an interview to all candidates who:

       
        Declare they have a disability, and
        Meet the minimum essential criteria for the role.
       
       Please opt in during the application process.

      
     
     
      
       Make It Real (what does it mean for you):
      
      
       
        You’d be joining an accredited Great Place to work for Wellbeing in 2024. Employee wellbeing is vitally important to us as an organization. We see a healthy and happy workforce a critical component for us to achieve our organizational ambitions. 

          To help support wellbeing we have trained ‘Mental Health Champions’ across each of our business areas, and we have invested in wellbeing apps such as Thrive and Peppy.
        You will be empowered to explore, innovate, and progress. You will benefit from Capgemini’s ‘learning for life’ mindset, meaning you will have countless training and development opportunities from thinktanks to hackathons, and access to 250,000 courses with numerous external certifications from AWS, Microsoft, Harvard ManageMentor, Cybersecurity qualifications and much more.
        You will be joining one of the World’s Most Ethical Companies®, as recognized by Ethisphere® for 13 consecutive years. We live our values by making ethical business choices every day. Working ethically is at the centre of our culture at Capgemini, meaning you will be helping to create a future we can all be proud of.
       
      
     
     
      
       Why you should consider Capgemini:
      
      
       Growing clients’ businesses while building a more sustainable, more inclusive future is a tough ask. When you join Capgemini, you’ll join a thriving company and become part of a collective of free-thinkers, entrepreneurs and industry experts. We find new ways technology can help us reimagine what’s possible. It’s why, together, we seek out opportunities that will transform the world’s leading businesses, and it’s how you’ll gain the experiences and connections you need to shape your future. By learning from each other every day, sharing knowledge, and always pushing yourself to do better, you’ll build the skills you want. You’ll use your skills to help our clients leverage technology to innovate and grow their business. So, it might not always be easy, but making the world a better place rarely is.

      
     
     
      
       About Capgemini:
      
      
       Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion. 

         Make it real | www.capgemini.com",Capgemini,
https://www.indeed.com/viewjob?jk=078818eaf6337b7b,Indeed,Senior Systems Engineer (AWS),London,Full-Time,7 days ago,,,,Open link to read requirements.,RELX,
